,exchangeId,feesNative,feesUSD,liquidityTotalNative,liquidityTotalUSD,volumeTotalUSD,volumeTotalNative,pairsTradedTotal,tradesTotal,timestamp
29,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,944.0833482521732,944.5040591132522,6602283.261090031,13201364.35169207,314834.68637108407,314694.4494173911,1,251,2022-12-01
28,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1166.7118888443845,1168.8971902078954,6638993.257014927,13302774.840489447,389632.3967359651,388903.9629481282,1,219,2022-12-02
27,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,697.983744701151,697.9608413537425,6501850.886373195,13013401.606955022,232653.6137845808,232661.248233717,1,227,2022-12-03
26,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,765.2408931533073,765.0097015011829,6607151.149189954,13212780.636956882,255003.23383372763,255080.2977177691,1,198,2022-12-04
25,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1054.9692467732618,1056.64895540796,6536734.214556736,13097333.873927116,352216.31846932,351656.41559108725,1,307,2022-12-05
24,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1704.6502416953033,1704.2296774903816,6569508.125932393,13136816.905372033,568076.5591634605,568216.7472317676,1,226,2022-12-06
23,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,855.9174301880173,856.0056894512022,6466924.776868483,12940593.777530797,285335.2298170674,285305.8100626724,1,443,2022-12-07
22,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,953.2381066715948,953.762798082507,6604209.0621913215,13203226.025490312,317920.932694169,317746.03555719816,1,253,2022-12-08
21,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,797.5111371271695,797.5671904989301,6552867.166705022,13113356.91638314,265855.73016631004,265837.0457090565,1,188,2022-12-09
20,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,351.53106082543786,351.46075461327274,6567923.103874644,13128444.306173608,117153.58487109092,117177.02027514594,1,156,2022-12-10
19,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,321.355588015912,321.3305668558327,6557732.451525505,13113620.759010475,107110.18895194423,107118.52933863732,1,105,2022-12-11
18,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,581.2592044120363,581.2968567356705,6577655.867460426,13172925.07734596,193765.61891189017,193753.06813734543,1,170,2022-12-12
