,exchangeId,feesNative,feesUSD,liquidityTotalNative,liquidityTotalUSD,volumeTotalUSD,volumeTotalNative,pairsTradedTotal,tradesTotal,timestamp
29,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,16.925578342359316,16.93312086988282,17124333.49651048,34262449.65022955,5644.373623294274,5641.8594474531055,1,19,2022-12-01
28,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,151.1925428576046,151.47573296924958,17111440.619525183,34287917.53418088,50491.91098974986,50397.5142858682,1,28,2022-12-02
27,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,9.518049389935063,9.517737068633194,17111668.13552347,34268434.9428045,3172.579022877731,3172.6831299783544,1,14,2022-12-03
26,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,37.26252471528768,37.251267103823984,17116122.293504927,34253139.152671054,12417.089034607994,12420.84157176256,1,57,2022-12-04
25,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,26.93751127134473,26.98040083463594,16497846.144814791,33032364.80661525,8993.466944878646,8979.170423781576,1,21,2022-12-05
24,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,45.67912998723408,45.667860222613335,16507709.641844288,33003038.966636963,15222.620074204446,15226.37666241136,1,20,2022-12-06
23,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,10.92320387300573,10.924330236240602,16509458.420166794,33006696.524715707,3641.4434120802007,3641.067957668576,1,21,2022-12-07
22,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,61.092632712647,61.12625996635204,16496043.49829306,33016459.231019143,20375.41998878401,20364.210904215663,1,17,2022-12-08
21,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,25.09475518779182,25.096518982146904,16494590.199531652,33008022.540164877,8365.506327382302,8364.918395930606,1,20,2022-12-09
20,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,6.542659340111551,6.5413508082435285,16493478.457821684,33001805.58527083,2180.4502694145094,2180.88644670385,1,13,2022-12-10
19,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,4.924043562043325,4.923660169668032,16494313.517983768,33008373.296528224,1641.2200565560106,1641.3478540144415,1,10,2022-12-11
18,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,10.232877855291052,10.233540712112571,16496723.843322484,33009666.104543097,3411.180237370858,3410.959285097017,1,13,2022-12-12
17,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,17.330518359162607,17.32205844597338,16466932.082889752,32930363.456461497,5774.019481991127,5776.839453054202,1,27,2022-12-13
16,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,87.58522548412068,87.61975256742566,16442062.26698066,32949265.89777693,29206.58418914189,29195.07516137356,1,32,2022-12-14
15,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,221.9647910577892,222.1150331479915,16454261.137329187,32952888.016933568,74038.34438266384,73988.26368592973,1,65,2022-12-15
14,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,74.4625538217435,74.46429497619894,16469500.603897111,32941905.727310203,24821.43165873298,24820.851273914504,1,30,2022-12-16
13,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,65.49706391011644,65.49675416140178,16477364.239240453,32944594.0323768,21832.25138713393,21832.35463670548,1,53,2022-12-17
12,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,34.114122503676136,34.10802528955315,16477004.929102965,32937714.673758797,11369.341763184382,11371.374167892043,1,23,2022-12-18
11,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,12.405365126282543,12.402878742175885,16477195.95272165,32938997.761390008,4134.292914058628,4135.121708760848,1,21,2022-12-19
10,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,24.727870266142908,24.718589072126758,16476210.041934194,32938346.67540554,8239.529690708918,8242.623422047634,1,34,2022-12-20
9,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,128.27322872188648,128.24343843515155,16455057.468517656,32936868.740725167,42747.81281171719,42757.74290729549,1,28,2022-12-21
8,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,33.46082800835513,33.444711270066946,16463903.157806646,32926785.90984731,11148.237090022316,11153.609336118376,1,29,2022-12-22
7,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,23.091439952604823,23.081181799894825,16470929.925115133,32937104.570390604,7693.727266631608,7697.146650868273,1,20,2022-12-23
6,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,4.737310936309092,4.732277752898726,16472504.453845004,32926801.736957543,1577.4259176329087,1579.103645436364,1,13,2022-12-24
5,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,14.458541697161946,14.454400623824704,16476393.441573396,32931579.10293378,4818.133541274901,4819.513899053982,1,21,2022-12-25
4,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,34.04199218787564,34.03215668515732,16467329.166374184,32936673.901439987,11344.052228385774,11347.330729291878,1,28,2022-12-26
3,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,117.7703971671421,117.6042722779096,16444322.249648148,32917581.67573061,39201.42409263653,39256.79905571402,1,37,2022-12-27
2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,48.99863835031312,48.98172324265433,16454610.522883844,32938544.285579547,16327.241080884776,16332.879450104372,1,52,2022-12-28
1,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,54.74876083031857,54.73519015376239,16469624.71024771,32950303.90918576,18245.06338458746,18249.58694343952,1,16,2022-12-29
0,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,5.160246501039123,5.158746292038884,16468921.687156435,32943687.13683137,1719.5820973462944,1720.0821670130408,1,20,2022-12-30
