,exchangeId,feesNative,feesUSD,liquidityTotalNative,liquidityTotalUSD,volumeTotalUSD,volumeTotalNative,pairsTradedTotal,tradesTotal,timestamp
29,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,28.660231940837367,28.67300376959685,3409351.971771959,6817156.699312906,9557.66792319895,9553.410646945791,1,26,2022-12-01
28,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,119.22549281728686,119.44880727436068,3405089.025421645,6820391.458017517,39816.26909145356,39741.83093909561,1,44,2022-12-02
27,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,11.657103642400449,11.656721131064726,3405529.8073223103,6815215.045592031,3885.5737103549086,3885.701214133483,1,19,2022-12-03
26,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,31.50606974234336,31.49655124904164,3408639.8235729504,6815282.847028403,10498.850416347212,10502.023247447785,1,24,2022-12-04
25,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,18.49925045893132,18.528704730538152,3407274.3507748437,6820854.055533334,6176.234910179383,6166.416819643773,1,23,2022-12-05
24,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,19.35728116470965,19.35250541695603,3407518.4548394494,6814379.490913728,6450.835138985344,6452.427054903217,1,21,2022-12-06
23,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,287.9600316411604,287.9897250897606,3411944.372996557,6813455.251213814,95996.5750299202,95986.67721372013,1,32,2022-12-07
22,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,39.12043291450105,39.141965997366455,3408858.966009061,6816958.276740927,13047.32199912215,13040.144304833684,1,42,2022-12-08
21,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,24.1597127148293,24.16141078937069,3406344.1815206553,6814651.1254958855,8053.803596456898,8053.237571609767,1,28,2022-12-09
20,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,685.326941294033,685.1898759057741,3405059.5687976745,6815915.051437398,228396.6253019247,228442.31376467764,1,42,2022-12-10
19,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,11.344906567016048,11.34402323797531,3407897.988636045,6817112.531354847,3781.3410793251032,3781.635522338682,1,35,2022-12-11
18,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,12.19435101148354,12.19514092697616,3408540.7592713893,6816163.462894858,4065.04697565872,4064.783670494513,1,21,2022-12-12
